,,REL_ERROR_ARGMAX,REL_ERROR_MAX_TEST_CASE,REL_ERROR_MAX,REL_ERROR_MED,REL_ERROR_MEAN,REL_ERROR_MIN,REL_ERROR_STD,REL_ERROR_IQR,ABS_ERROR_ARGMAX,ABS_ERROR_MAX_TEST_CASE,ABS_ERROR_MAX,ABS_ERROR_MED,ABS_ERROR_MEAN,ABS_ERROR_MIN,ABS_ERROR_STD,ABS_ERROR_IQR
mad_04,add,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_04,sub,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_04,mul,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=nan, y_est=nan']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=nan, y_est=nan']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_04,div,"[671368, 575543]","['x=(-0.5984086990356445, 7.5361552238464355), y_true=-0.0794050395488739, y_est=-0.07913805544376373', 'x=(1.4672232866287231, 0.9999949336051941), y_true=1.0000051259994507, y_est=0.9966427683830261']","[0.3362307, 1.0075651]","[0.08352929, 0.25052816]","[0.10831138, 0.32471514]","[0.10831138, 0.32471514]","[0.10243603, 0.30698317]","[0.132961592, 0.398646569]","[749322, 749322]","['x=(7.795480728149414, 4.229357000440359e-05), y_true=184318.34375, y_est=184050.390625', 'x=(7.795480728149414, 4.229357000440359e-05), y_true=23644.255859375, y_est=23609.8828125']","[267.95312, 12662306.0]","[0.0006970167, 0.00052702427]","[0.007270823, 51.888725]","[0.007270823, 51.888725]","[0.47156554, 18782.455]","[0.00206339359, 0.00154352374]"
mad_04,sin,"[530162, 872471]","['x=(-9.424773216247559, 3.454326629638672), y_true=-4.7445219024666585e-06, y_est=-6.675709300907329e-06', 'x=(-7.853972911834717, 9.245234489440918), y_true=8.722139682504348e-06, y_est=1.1444059055065736e-05']","[40.70352, 31.20701]","[6.878425, 5.3087597]","[9.082556, 8.1092615]","[9.082556, 8.1092615]","[8.1033535, 7.920198]","[13.6314482, 12.456837]","[217348, 694629]","['x=(9.896635055541992, -2.695929765701294), y_true=-0.45454123616218567, y_est=-0.5105515122413635', 'x=(8.325338363647461, -7.570544719696045), y_true=-0.4540954828262329, y_est=-0.5101057291030884']","[0.05601028, 0.056010246]","[0.03310538, 0.02925393]","[0.030754039, 0.028866924]","[0.030754039, 0.028866924]","[0.019538203, 0.01964023]","[0.0382780954, 0.0389525164]"
mad_04,cos,"[872471, 530162]","['x=(-7.853972911834717, 9.245234489440918), y_true=8.722139682504348e-06, y_est=1.1444059055065736e-05', 'x=(-9.424773216247559, 3.454326629638672), y_true=4.7445219024666585e-06, y_est=6.675709300907329e-06']","[31.20701, 40.70352]","[5.3087597, 6.878425]","[8.1092615, 9.082556]","[8.1092615, 9.082556]","[7.920198, 8.1033535]","[12.456837, 13.6314482]","[694629, 217348]","['x=(8.325338363647461, -7.570544719696045), y_true=-0.4540954828262329, y_est=-0.5101057291030884', 'x=(9.896635055541992, -2.695929765701294), y_true=0.45454123616218567, y_est=0.5105515122413635']","[0.056010246, 0.05601028]","[0.02925393, 0.03310538]","[0.028866924, 0.030754039]","[0.028866924, 0.030754039]","[0.01964023, 0.019538203]","[0.0389525164, 0.0382780954]"
mad_04,exp,"[829147, 829147]","['x=(7.776684284210205, -2.4809532165527344), y_true=2384.35595703125, y_est=2380.2421875', 'x=(7.776684284210205, -2.4809532165527344), y_true=2384.35595703125, y_est=2380.2421875']","[0.17253168, 0.17253168]","[0.1189035, 0.1189035]","[0.10798724, 0.10798724]","[0.10798724, 0.10798724]","[0.05312731, 0.05312731]","[0.0941571537, 0.0941571537]","[112430, 112430]","['x=(9.865203857421875, -1.0379374027252197), y_true=19248.796875, y_est=19215.74609375', 'x=(9.865203857421875, -1.0379374027252197), y_true=19248.796875, y_est=19215.74609375']","[33.05078, 33.05078]","[0.0008420796, 0.0008420796]","[1.2006834, 1.2006834]","[1.2006834, 1.2006834]","[4.045102, 4.045102]","[0.125644861, 0.125644861]"
mad_04,log,"[613351, 438931]","['x=(0.999998152256012, 7.318039417266846), y_true=-1.8477456933396752e-06, y_est=-0.0034257173538208008', 'x=(1.9999905824661255, 1.3033562898635864), y_true=0.500002384185791, y_est=0.49832120537757874']","[185299.83, 0.33623415]","[0.0, 0.08326727]","[0.6561247, 0.10805187]","[0.6561247, 0.10805187]","[245.18994, 0.10232385]","[0.148381963, 0.132948201]","[3929, 397134]","['x=(9.730507850646973, 0.2111634463071823), y_true=2.275266170501709, y_est=2.2718420028686523', 'x=(2.975880988742574e-06, -7.096531867980957), y_true=336034.9375, y_est=335675.21875']","[0.0034241676, 359.71875]","[0.0, 0.00020225346]","[0.0010884006, 0.0022943367]","[0.0010884006, 0.0022943367]","[0.0013219432, 0.47553933]","[0.0024125576, 0.000392943621]"
mad_04,sqrt,"[74852, 379382]","['x=(3.729726791381836, -5.842968463897705), y_true=1.9312500953674316, y_est=1.927865982055664', 'x=(3.552241802215576, 9.427155494689941), y_true=0.26528871059417725, y_est=0.26449546217918396']","[0.17522916, 0.29901326]","[0.0, 0.0]","[0.048011895, 0.04254887]","[0.048011895, 0.04254887]","[0.061812423, 0.057192985]","[0.102137441, 0.0834228396]","[565329, 265431]","['x=(9.999938011169434, 4.987502098083496), y_true=3.1622679233551025, y_est=3.1568479537963867', 'x=(5.980318383080885e-05, -1.9905098676681519), y_true=64.65585327148438, y_est=64.55059814453125']","[0.005419969, 0.10525513]","[0.0, 0.0]","[0.0010334355, 0.00014177363]","[0.0010334355, 0.00014177363]","[0.0014565677, 0.00042192044]","[0.0018889904, 0.000193610787]"
mad_04,tanh,"[647271, 123175]","['x=(1.6438379287719727, -3.0140323638916016), y_true=0.9280071258544922, y_est=0.9818168878555298', 'x=(2.999999761581421, -4.8477606773376465), y_true=0.009865999221801758, y_est=-0.05133986473083496']","[5.798421, 620.3717]","[0.008965342, 100.0]","[0.859344, 96.21643]","[0.859344, 96.21643]","[1.4933972, 81.05805]","[1.17562276, 0.0]","[136460, 15371]","['x=(-1.6579558849334717, 4.493832111358643), y_true=-0.9299412965774536, y_est=-0.983808696269989', 'x=(-1.6702725887298584, -7.891520023345947), y_true=0.13214439153671265, y_est=0.028964102268218994']","[0.0538674, 0.10318029]","[8.9108944e-05, 0.00016248226]","[0.006618375, 0.011783593]","[0.006618375, 0.011783593]","[0.012706737, 0.024159634]","[0.00617721304, 0.00786527991]"
